127.0.0.1 - - [12/Jan/2017:10:12:47 +0900] "GET / HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:12:48 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2014
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:12:48 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:12:48 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:12:48 +0900] "GET /favicon.ico HTTP/1.1" 404 1008
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:33 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:33 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:33 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:33 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:33 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:33 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:34 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:34 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:34 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:34 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:34 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:34 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:45 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:16:45 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:17:26 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2048
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:17:26 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:17:26 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:18:37 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:18:37 +0900] "GET /css/bootstrap.css HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:18:37 +0900] "GET /css/dataTables.bootstrap.css HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [12/Jan/2017:10:19:09 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 2073
